date,tag,asset,downloads
2026-08-19,v2.2,GLIDE.bin,1
2026-08-19,v2.1,GLIDE.bin,5
2026-08-19,v2.0,GLIDE.bin,69
2026-08-19,v1.2-generative,GLIDE.bin,26
2026-08-20,v2.3,GLIDE.bin,4
2026-08-20,v2.2,GLIDE.bin,25
2026-08-20,v2.1,GLIDE.bin,8
2026-08-20,v2.0,GLIDE.bin,69
2026-08-20,v1.2-generative,GLIDE.bin,26
2026-08-21,v2.4,GLIDE.bin,15
2026-08-21,v2.3,GLIDE.bin,35
2026-08-21,v2.2,GLIDE.bin,31
2026-08-21,v2.1,GLIDE.bin,8
2026-08-21,v2.0,GLIDE.bin,69
2026-08-21,v1.2-generative,GLIDE.bin,26
2026-08-22,v2.5,GLIDE.bin,9
2026-08-22,v2.4,GLIDE.bin,39
2026-08-22,v2.3,GLIDE.bin,35
2026-08-22,v2.2,GLIDE.bin,31
2026-08-22,v2.1,GLIDE.bin,8
2026-08-22,v2.0,GLIDE.bin,69
2026-08-22,v1.2-generative,GLIDE.bin,26
2026-08-23,v2.5,GLIDE.bin,39
2026-08-23,v2.4,GLIDE.bin,39
2026-08-23,v2.3,GLIDE.bin,35
2026-08-23,v2.2,GLIDE.bin,31
2026-08-23,v2.1,GLIDE.bin,8
2026-08-23,v2.0,GLIDE.bin,69
2026-08-23,v1.2-generative,GLIDE.bin,26
2026-08-24,v2.6,GLIDE.bin,13
2026-08-24,v2.6,NOTICES.txt,0
2026-08-24,v2.5,GLIDE.bin,50
2026-08-24,v2.4,GLIDE.bin,39
2026-08-24,v2.3,GLIDE.bin,35
2026-08-24,v2.2,GLIDE.bin,31
2026-08-24,v2.1,GLIDE.bin,8
2026-08-24,v2.0,GLIDE.bin,69
2026-08-24,v1.2-generative,GLIDE.bin,26
2026-08-25,v2.6,GLIDE.bin,39
2026-08-25,v2.6,NOTICES.txt,1
2026-08-25,v2.5,GLIDE.bin,51
2026-08-25,v2.4,GLIDE.bin,39
2026-08-25,v2.3,GLIDE.bin,35
2026-08-25,v2.2,GLIDE.bin,31
2026-08-25,v2.1,GLIDE.bin,8
2026-08-25,v2.0,GLIDE.bin,69
2026-08-25,v1.2-generative,GLIDE.bin,26
2026-08-26,v2.6,GLIDE.bin,62
2026-08-26,v2.6,NOTICES.txt,1
2026-08-26,v2.5,GLIDE.bin,51
2026-08-26,v2.4,GLIDE.bin,39
2026-08-26,v2.3,GLIDE.bin,35
2026-08-26,v2.2,GLIDE.bin,31
2026-08-26,v2.1,GLIDE.bin,8
2026-08-26,v2.0,GLIDE.bin,69
2026-08-26,v1.2-generative,GLIDE.bin,26
